Yara,,Num Of Confirmed Bugs with test cases:,0,Num of available crashes,0,Project Link:,https://github.com/VirusTotal/yara,Work on this has been temporary halted due to complex input test cases.,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Internal ID,Tool Name,CVE ID,Date of Fix,Earlies Unfixed Commit,Commit ID before fix,Commit ID of fix,Notes,Shall we include?,Bug Type,Bug Details,Crash Input,Crash Status,Useful Link
,yara,N/A,2015-09-25 10:11:04 +0200,TODO,92fee0f,d522a89,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/d522a89
,yara,N/A,2015-09-24 10:35:41 +0200,TODO,52827ec,f718c52,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/f718c52
,yara,N/A,2015-09-24 10:32:41 +0200,TODO,7e14ce2,52827ec,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/52827ec
,yara,N/A,2015-09-23 14:51:15 +0200,TODO,6960720,db099d8,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/db099d8
,yara,N/A,2015-09-22 13:53:16 +0200,TODO,483691,85e7590,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/85e7590
,yara,N/A,2015-09-22 12:09:08 +0200,TODO,c3e7487 4510007,483691,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/0483691
,yara,N/A,2015-07-30 19:17:59 +0200,TODO,89d44ff,6ad1182,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/6ad1182
,yara,N/A,2015-07-15 11:11:53 +0200,TODO,38f5f8f,3f1cbf2,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/3f1cbf2
,yara,N/A,2015-07-03 11:27:55 +0200,TODO,a18e9f3,113bef3,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/113bef3
,yara,N/A,2015-07-03 11:16:31 +0200,TODO,0cdf30d,a18e9f3,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/a18e9f3
,yara,N/A,2015-07-02 15:59:30 +0200,TODO,f3f7824,0cdf30d,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/0cdf30d
,yara,N/A,2015-07-02 15:13:46 +0200,TODO,15d249b,b1106ad,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/b1106ad
,yara,N/A,2015-06-30 20:55:35 +0200,TODO,c666ae1,6fff18a,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/6fff18a
,yara,N/A,2015-06-30 11:24:17 +0200,TODO,e6a1d4c,cf4746d,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/cf4746d
,yara,N/A,2015-06-29 10:35:57 +0200,TODO,9aa11cb,e6a1d4c,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/e6a1d4c
,yara,N/A,2015-06-04 18:50:07 +0200,TODO,e67d00a,c9ee8fc,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/c9ee8fc
,yara,N/A,2015-06-03 17:27:20 +0200,TODO,0e6f070,10da150,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/10da150
,yara,N/A,2015-06-03 11:20:12 +0200,TODO,2fe34e0,8304634,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/8304634
,yara,N/A,2015-05-27 11:23:21 +0200,TODO,1e0bb3c 3a4776a,4.58E+54,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/4576e51
,yara,N/A,2015-05-22 10:30:27 +0200,TODO,0fe4b17,06f9e94,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/06f9e94
,yara,N/A,2015-05-14 12:12:17 +0200,TODO,4cd0998,4fd4012,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/4fd4012
,yara,N/A,2015-05-11 10:16:27 +0200,TODO,c979823,5f02d37,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/5f02d37
,yara,N/A,2015-05-08 09:36:54 +0200,TODO,ba6e9e4 fd2826a,9661cd5,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/9661cd5
,yara,N/A,2015-05-05 14:43:34 +0200,TODO,97c46f3,d11a682,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/d11a682
,yara,N/A,2015-04-27 13:57:41 +0200,TODO,5d5bb04 a5c78e9,922f1f9,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/922f1f9
,yara,N/A,2015-04-24 10:26:53 +0200,TODO,07d9d74 b01eeab,1e34c4c,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/1e34c4c
,yara,N/A,2015-04-21 13:42:00 +0200,TODO,4565007,07d9d74,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/07d9d74
,yara,N/A,2015-04-21 10:37:54 +0200,TODO,c19e83a 01fd0f6,3bbae40,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/3bbae40
,yara,N/A,2015-04-16 08:52:58 +0200,TODO,24e7f8d 1cc98f7,d771e5c,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/d771e5c
,yara,N/A,2015-03-18 12:25:19 +0100,TODO,5ce0f3e,3a4ed03,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/3a4ed03
,yara,N/A,2015-03-18 10:15:04 +0100,TODO,7b9b3d8 eb0dd14,5ce0f3e,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/5ce0f3e
,yara,N/A,2015-03-17 18:46:21 +0100,TODO,e91f2e9 4aafc3e,7b9b3d8,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/7b9b3d8
,yara,N/A,2015-03-13 11:08:46 +0100,TODO,223daaf,497cd85,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/497cd85
,yara,N/A,2015-03-12 11:14:31 +0100,TODO,d4aa74c,223daaf,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/223daaf
,yara,N/A,2015-03-12 10:08:23 +0100,TODO,5.39E+48,21e796d,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/21e796d
,yara,N/A,2015-03-12 09:38:37 +0100,TODO,e654c40 bc9d5b6,48c4a2b,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/48c4a2b
,yara,N/A,2015-02-20 22:49:46 +0100,TODO,83db30e,a7e9f35,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/a7e9f35
,yara,N/A,2015-02-16 10:34:06 +0100,TODO,4994a2c,aa0f6c4,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/aa0f6c4
,yara,N/A,2015-02-12 10:07:05 +0100,TODO,73098ae 90d16f8,b47a70f,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/b47a70f
,yara,N/A,2015-02-09 21:14:10 +0100,TODO,7af1706,d1fa24b,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/d1fa24b
,yara,N/A,2015-02-09 10:36:24 +0100,TODO,d0cabe7,2540594,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/2540594
,yara,N/A,2015-02-06 20:55:04 +0100,TODO,2c1c67c,febeaa2,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/febeaa2
,yara,N/A,2015-02-06 20:11:42 +0100,TODO,a5d77f3,2c1c67c,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/2c1c67c
,yara,N/A,2015-02-06 15:15:10 +0100,TODO,137981f,a5d77f3,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/a5d77f3
