libFLAC,,Num Of Confirmed Bugs with test cases:,5,Num of available crashes,9,,Project Link:,https://github.com/xiph/flac,,,,,
,,,,,,,,,,,,,
Invalid Access,5,,0,,,,,,,,,,
Failed Assertion,0,,0,,,,,,,,,,
Division By Zero,0,,0,,,,,,,,,,
Dangling Pointer Use,0,,,,,,,,,,,,
,,,,,,,,,,,,,
Internal ID,Tool Name,CVE ID,Date of Fix,Earlies Unfixed Commit,Commit ID / Version before fix,Commit ID / Version of fix,Notes,Shall we include?,Bug Type,Bug Details,Crash Input,Crash Status,Useful Link
53,FLAC,N/A,2012-02-05 16:51:32 +1100,,0fe9767,8f95634,N/A,No,Memory Leak,,No,TODO,"https://github.com/xiph/flac/commit/8f95634
https://sourceforge.net/p/flac/patches/48/"
54,FLAC,N/A,2012-04-05 21:02:40 +1000,,6c2040d,dff08f1,N/A,Potential,Buffer Overflow,options.c,No,TODO,https://github.com/xiph/flac/commit/dff08f1
55,FLAC,N/A,2013-06-05 18:50:42 +1000,,d42c042,606fdfc,N/A,Potential,Buffer Overflow,,No,TODO,https://github.com/xiph/flac/commit/606fdfc
56,FLAC,N/A,2014-03-23 21:41:01 +1100,,697dbde,49d9d74,N/A,Yes,Null Dereference,"metadata_object.c

if\(0 \!= src-&gt;entry && src-&gt;length &gt; 0\) \{",No,TODO,"https://github.com/xiph/flac/commit/49d9d74
https://sourceforge.net/p/flac/bugs/377/"
57,FLAC,N/A,2014-06-28 09:27:33 +1000,,854575,6ccef14,N/A,I Don't Know,I Don't Know,,No,TODO,https://github.com/xiph/flac/commit/6ccef14
58,FLAC,N/A,2014-08-09 13:02:58 +1000,,e0f638f,a87019e,N/A,No,Memory Leak,,No,TODO,https://github.com/xiph/flac/commit/a87019e
59,FLAC,CVE-2014-8962,2014-11-20 21:46:39 +1100,d8d1717,d8d1717,5b3033a,Kindly provided by Michele via email,Yes,Buffer Overflow,"stream_decoder.c

    #0 0x468782 in find_metadata_ (/home/john/tests/flac/install/bin/flac+0x468782)
    #1 0x475af7 in FLAC__stream_decoder_process_until_end_of_metadata (/home/john/tests/flac/install/bin/flac+0x475af7)
    #2 0x411e91 in flac__decode_file (/home/john/tests/flac/install/bin/flac+0x411e91)
    #3 0x4036c1 in decode_file (/home/john/tests/flac/install/bin/flac+0x4036c1)
    #4 0x406e65 in main (/home/john/tests/flac/install/bin/flac+0x406e65)
    #5 0x2ad549afc400 in __libc_start_main (/lib64/libc.so.6+0x20400)
    #6 0x407a49 in _start (/home/john/tests/flac/install/bin/flac+0x407a49)
",Yes,Success,"https://github.com/xiph/flac/commit/5b3033a
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2014-8962"
60,FLAC,N/A,2014-11-20 21:46:57 +1100,,5b3033a,93846ee,N/A,Yes,I Don't Know,main.c,Yes,Failed,"https://github.com/xiph/flac/commit/93846ee
https://sourceforge.net/p/flac/bugs/418/"
61,FLAC,CVE-2014-9028,2014-11-25 13:03:55 +1100,d8d1717,288edbb,fcf0ba0,Kindly provided by Michele via email,Yes,Buffer Overflow,"stream_decoder.c

==22641==ERROR: AddressSanitizer: heap-buffer-overflow on address 0x60300000efc4 at pc 0x2b6305db129b bp 0x7ffc9b976d80 sp 0x7ffc9b976528
WRITE of size 52 at 0x60300000efc4 thread T0
    #0 0x2b6305db129a  (/lib64/libasan.so.3+0x5f29a)
    #1 0x46c091 in read_frame_.part.8 (/home/john/tests/flac/install/bin/flac+0x46c091)
    #2 0x475d66 in FLAC__stream_decoder_process_until_end_of_stream (/home/john/tests/flac/install/bin/flac+0x475d66)
    #3 0x4121c2 in flac__decode_file (/home/john/tests/flac/install/bin/flac+0x4121c2)
    #4 0x4036c1 in decode_file (/home/john/tests/flac/install/bin/flac+0x4036c1)
    #5 0x406e65 in main (/home/john/tests/flac/install/bin/flac+0x406e65)
    #6 0x2b6307224400 in __libc_start_main (/lib64/libc.so.6+0x20400)
    #7 0x407a49 in _start (/home/john/tests/flac/install/bin/flac+0x407a49)
",Yes,Success,https://github.com/xiph/flac/commit/fcf0ba0
62,FLAC,N/A,2014-11-27 13:40:37 +1100,,71b5c02,5a36599,N/A,Yes,Buffer Overflow,,No,TODO,https://github.com/xiph/flac/commit/5a36599
63,FLAC,N/A,2014-11-29 18:08:33 +1100,d8d1717,0e11f73,43ba7ad,N/A,Yes,Null Dereference,"stream_decoder.c

   #0 0x2ad5a41727aa  (/lib64/libasan.so.3+0xd07aa)
    #1 0x2ad5a4179163 in __sanitizer::CheckFailed(char const*, int, char const*, unsigned long long, unsigned long long) (/lib64/libasan.so.3+0xd7163)
    #2 0x2ad5a417934d  (/lib64/libasan.so.3+0xd734d)
    #3 0x2ad5a4183392  (/lib64/libasan.so.3+0xe1392)
    #4 0x2ad5a40c774d  (/lib64/libasan.so.3+0x2574d)
    #5 0x2ad5a4168e24 in malloc (/lib64/libasan.so.3+0xc6e24)
    #6 0x47180f in read_metadata_ (/home/john/tests/flac/install/bin/flac+0x47180f)
    #7 0x475ad7 in FLAC__stream_decoder_process_until_end_of_metadata (/home/john/tests/flac/install/bin/flac+0x475ad7)
    #8 0x411e91 in flac__decode_file (/home/john/tests/flac/install/bin/flac+0x411e91)
    #9 0x4036c1 in decode_file (/home/john/tests/flac/install/bin/flac+0x4036c1)
    #10 0x406e65 in main (/home/john/tests/flac/install/bin/flac+0x406e65)
    #11 0x2ad5a5574400 in __libc_start_main (/lib64/libc.so.6+0x20400)
    #12 0x407a49 in _start (/home/john/tests/flac/install/bin/flac+0x407a49)
",Yes,Success,"https://github.com/xiph/flac/commit/43ba7ad
https://sourceforge.net/p/flac/bugs/421/"
64,FLAC,N/A,2014-12-11 11:17:03 +1100,,3ff1b9d,b4b2910,N/A,I Don't Know,I Don't Know,,No,TODO,https://github.com/xiph/flac/commit/b4b2910
